日期,环节,时间,代码,名称,市场,CANSLIM评分,买点形态,信号,参考买点(元),现价(元),涨跌幅%,量比,成交额(万),主力净流入(万),结论,备注
20260923,盘前推荐,0830,300750.SZ,宁德时代,创业板,84,下降楔形底端缩量企稳,多头-待突破,293,305.01,2.66,1.01,1255279,数据缺失,买入第1批-回踩293/300,PE16.3;EPS9.51;ROE高;AI算力催化
20260923,盘前推荐,0830,603658.SH,安图生物,沪A,79,120日收敛平台放量突破,多头-买点触发,33,34.97,7.53,放量突破,数据缺失,数据缺失,买入-突破平台确认,IVD龙头;5日线上穿20日线;医药板块强势
20260923,盘前推荐,0830,002594.SZ,比亚迪,深A,82,放量多头站上MA20,多头-放量上攻,83,86.52,1.53,1.52,253531,数据缺失,持有-回踩83/85买入,PE32;新能源车龙头;量比1.52
20260923,盘前推荐,0830,000977.SZ,浪潮信息,深A,79,MA20上方温和放量,多头-温和,69,72.12,0.38,1.08,354634,数据缺失,观察-回踩69/71买入,PE17.94;AI服务器龙头;受美股半导体暴涨带动
20260923,盘前推荐,0830,301258.SZ,富士莱,创业板,71,放量突破MACD金叉,多头-买点触发,25,27.11,4.96,放量突破,数据缺失,数据缺失,买入-技术形态确认,原料药;MACD金叉;KDJ多头排列
20260923,盘前推荐,0830,00700.HK,腾讯控股,港股通,89,巨量突破上攻,多头-极强,425,454.00,5.58,4.54,2625543,数据缺失,持有-回踩425/440买入,PE14.65;互联网龙头;受Meta+AI催化
20260923,盘前推荐,0830,09988.HK,阿里巴巴,港股通,78,放量上行冲高回落,多头-偏强,109,115.00,2.13,2.67,1096875,数据缺失,持有-回踩109/112买入,PE26.35;电商龙头;AI云催化
20260923,盘前推荐,0830,01810.HK,小米集团,港股通,74,数据有限估值合理,多头-中性,25,27.20,数据缺失,数据缺失,数据缺失,数据缺失,观察-回踩25/27买入,PE18.73;手机+IoT+EV龙头
20260923,盘前推荐,0830,00006.HK,电能实业,港股通,73,缩量横盘支撑位,中性-防御,59,60.20,-0.08,0.44,5592,数据缺失,买入-59/60挂单,PE7.17;股息率4.68%;公用事业防御仓
20260923,盘前推荐,0830,00257.HK,光大环境,港股通,70,缩量回调至买点,中性-防御,4.50,4.58,-1.08,0.68,2517,数据缺失,买入-4.50/4.58挂单,PE6.85;股息率6.11%;环保龙头;高股息防御仓
